TCID, Status, Failure Reason
service_insertion_project_VYOS_E-W_FW-NORULE_841, FAIL, Failed to create tenant using keystone v2 api.Problem during clean up.

Total testcases : 1
Testcases passed : 0
Testcases failed : 1
