TCID, Status, Failure Reason
service_insertion_project_VYOS_E-W_FW-NORULE_841, FAIL, Problem while creating classifierResources cleanup is failed with reason : Resource Cleanup: Failed to access project id for project: Atf-prj1

Total testcases : 1
Testcases passed : 0
Testcases failed : 1
